Timeframe,Leader,Follower,Leader_Signals,Valid_Cases,Matching_Directions,Hit_Rate,Avg_Delay_Bars
M5,EURUSD,GBPUSD,333,280,280,1.0,3.05
M5,EURUSD,USDJPY,333,263,263,1.0,3.1
M5,EURUSD,AUDUSD,333,270,270,1.0,3.11
M5,EURUSD,USDCAD,333,254,254,1.0,3.09
M5,EURUSD,USDCHF,333,265,265,1.0,3.15
M5,EURUSD,NZDUSD,333,263,263,1.0,3.17
M5,EURUSD,XAUUSD,333,280,280,1.0,3.25
M5,GBPUSD,EURUSD,363,296,296,1.0,3.0
M5,GBPUSD,USDJPY,363,286,286,1.0,2.98
M5,GBPUSD,AUDUSD,363,296,296,1.0,3.11
M5,GBPUSD,USDCAD,363,291,291,1.0,3.21
M5,GBPUSD,USDCHF,363,305,305,1.0,3.33
M5,GBPUSD,NZDUSD,363,296,296,1.0,3.33
M5,GBPUSD,XAUUSD,363,298,298,1.0,3.03
M5,USDJPY,EURUSD,349,277,277,1.0,3.0
M5,USDJPY,GBPUSD,349,287,287,1.0,3.18
M5,USDJPY,AUDUSD,349,271,271,1.0,3.07
M5,USDJPY,USDCAD,349,270,270,1.0,3.09
M5,USDJPY,USDCHF,349,291,291,1.0,3.07
M5,USDJPY,NZDUSD,349,271,271,1.0,2.98
M5,USDJPY,XAUUSD,349,264,264,1.0,3.06
M5,AUDUSD,EURUSD,559,471,471,1.0,3.11
M5,AUDUSD,GBPUSD,559,464,464,1.0,3.14
M5,AUDUSD,USDJPY,559,447,447,1.0,3.06
M5,AUDUSD,USDCAD,559,446,446,1.0,3.15
M5,AUDUSD,USDCHF,559,450,450,1.0,3.14
M5,AUDUSD,NZDUSD,559,469,469,1.0,3.09
M5,AUDUSD,XAUUSD,559,453,453,1.0,2.98
M5,USDCAD,EURUSD,590,468,468,1.0,3.31
M5,USDCAD,GBPUSD,590,464,464,1.0,3.22
M5,USDCAD,USDJPY,590,476,476,1.0,3.1
M5,USDCAD,AUDUSD,590,455,455,1.0,3.2
M5,USDCAD,USDCHF,590,462,462,1.0,3.07
M5,USDCAD,NZDUSD,590,465,465,1.0,3.12
M5,USDCAD,XAUUSD,590,453,453,1.0,3.02
M5,USDCHF,EURUSD,599,468,468,1.0,3.24
M5,USDCHF,GBPUSD,599,477,477,1.0,3.12
M5,USDCHF,USDJPY,599,502,502,1.0,3.21
M5,USDCHF,AUDUSD,599,443,443,1.0,3.01
M5,USDCHF,USDCAD,599,492,492,1.0,3.23
M5,USDCHF,NZDUSD,599,468,468,1.0,3.13
M5,USDCHF,XAUUSD,599,471,471,1.0,3.01
M5,NZDUSD,EURUSD,691,557,557,1.0,3.15
M5,NZDUSD,GBPUSD,691,548,548,1.0,3.11
M5,NZDUSD,USDJPY,691,539,539,1.0,2.98
M5,NZDUSD,AUDUSD,691,557,557,1.0,3.12
M5,NZDUSD,USDCAD,691,553,553,1.0,3.04
M5,NZDUSD,USDCHF,691,543,543,1.0,2.98
M5,NZDUSD,XAUUSD,691,540,540,1.0,3.14
M5,XAUUSD,EURUSD,236,188,188,1.0,3.16
M5,XAUUSD,GBPUSD,236,189,189,1.0,3.2
M5,XAUUSD,USDJPY,236,181,181,1.0,3.01
M5,XAUUSD,AUDUSD,236,185,185,1.0,3.12
M5,XAUUSD,USDCAD,236,184,184,1.0,2.95
M5,XAUUSD,USDCHF,236,174,174,1.0,3.1
M5,XAUUSD,NZDUSD,236,190,190,1.0,3.07
M15,EURUSD,GBPUSD,50,38,38,1.0,2.55
M15,EURUSD,USDJPY,50,37,37,1.0,3.59
M15,EURUSD,AUDUSD,50,39,39,1.0,3.13
M15,EURUSD,USDCAD,50,40,40,1.0,3.15
M15,EURUSD,USDCHF,50,40,40,1.0,3.75
M15,EURUSD,NZDUSD,50,36,36,1.0,2.31
M15,EURUSD,XAUUSD,50,43,43,1.0,2.81
M15,GBPUSD,EURUSD,53,41,41,1.0,2.68
M15,GBPUSD,USDJPY,53,43,43,1.0,3.4
M15,GBPUSD,AUDUSD,53,41,41,1.0,2.93
M15,GBPUSD,USDCAD,53,43,43,1.0,3.47
M15,GBPUSD,USDCHF,53,41,41,1.0,3.46
M15,GBPUSD,NZDUSD,53,41,41,1.0,3.1
M15,GBPUSD,XAUUSD,53,39,39,1.0,3.23
M15,USDJPY,EURUSD,64,47,47,1.0,3.19
M15,USDJPY,GBPUSD,64,47,47,1.0,3.09
M15,USDJPY,AUDUSD,64,56,56,1.0,3.07
M15,USDJPY,USDCAD,64,44,44,1.0,3.18
M15,USDJPY,USDCHF,64,48,48,1.0,2.65
M15,USDJPY,NZDUSD,64,55,55,1.0,2.82
